ERPset,value,worklat,chindex,chlabel,bini,binlabel
117-115,2.474388,           [256],130,Posterior,1, Crying1
117-32,3.190863,           [278],130,Posterior,1, Crying1
117-34,5.092052,           [304],130,Posterior,1, Crying1
117-46,5.109019,           [296],130,Posterior,1, Crying1
117-48,1.545463,           [302],130,Posterior,1, Crying1
117-50,0.45082,           [382],130,Posterior,1, Crying1
117-53,1.333429,           [224],130,Posterior,1, Crying1
117-59,0.391472,           [292],130,Posterior,1, Crying1
117-61,-0.110371,           [260],130,Posterior,1, Crying1
117-66,-1.085794,           [338],130,Posterior,1, Crying1
117-69,7.237723,           [220],130,Posterior,1, Crying1
117-71,2.297008,           [256],130,Posterior,1, Crying1
117-76,7.610005,           [268],130,Posterior,1, Crying1
117-77,3.333161,           [290],130,Posterior,1, Crying1
118-107,0.273149,           [336],130,Posterior,1, Crying1
118-119,2.05101,           [238],130,Posterior,1, Crying1
118-128,1.806383,           [328],130,Posterior,1, Crying1
118-132,0.523629,           [220],130,Posterior,1, Crying1
118-143,2.129541,           [286],130,Posterior,1, Crying1
118-172,-0.910851,           [292],130,Posterior,1, Crying1
118-198,5.63644,           [282],130,Posterior,1, Crying1
118-229,2.729999,           [284],130,Posterior,1, Crying1
118-232,5.559641,           [254],130,Posterior,1, Crying1
118-286,1.167437,           [328],130,Posterior,1, Crying1
118-300,1.052012,           [326],130,Posterior,1, Crying1
118-313,3.889065,           [316],130,Posterior,1, Crying1
118-46,2.022148,           [348],130,Posterior,1, Crying1
119-102,7.021308,           [234],130,Posterior,1, Crying1
119-112,0.879265,           [370],130,Posterior,1, Crying1
222-11,4.35492,           [278],130,Posterior,1, Crying1
222-13,1.695994,           [286],130,Posterior,1, Crying1
222-34,1.815613,           [306],130,Posterior,1, Crying1
222-36,2.180832,           [390],130,Posterior,1, Crying1
222-4,3.760477,           [252],130,Posterior,1, Crying1
248-10,4.615546,           [222],130,Posterior,1, Crying1
248-23,5.251131,           [274],130,Posterior,1, Crying1
248-25,1.514227,           [246],130,Posterior,1, Crying1
250-10,4.848593,           [258],130,Posterior,1, Crying1
250-22,3.422053,           [244],130,Posterior,1, Crying1
250-23,3.806671,           [266],130,Posterior,1, Crying1
250-26,3.344311,           [314],130,Posterior,1, Crying1
250-27,0.466986,           [378],130,Posterior,1, Crying1
250-36,3.398759,           [296],130,Posterior,1, Crying1
250-39,2.822735,           [242],130,Posterior,1, Crying1
255-22,1.537145,           [234],130,Posterior,1, Crying1
255-23,4.55134,           [334],130,Posterior,1, Crying1
255-33,3.814265,           [262],130,Posterior,1, Crying1
255-43,2.439367,           [270],130,Posterior,1, Crying1
255-44,5.236781,           [218],130,Posterior,1, Crying1
255-62,1.348206,           [276],130,Posterior,1, Crying1
255-63,2.176361,           [300],130,Posterior,1, Crying1
255-64,3.002249,           [342],130,Posterior,1, Crying1
255-72,5.831908,           [212],130,Posterior,1, Crying1
255-81,1.772583,           [328],130,Posterior,1, Crying1
117-115,3.202849,           [266],130,Posterior,2, Crying2
117-32,3.860995,           [248],130,Posterior,2, Crying2
117-34,4.618167,           [298],130,Posterior,2, Crying2
117-46,4.752372,           [224],130,Posterior,2, Crying2
117-48,0.67005,           [310],130,Posterior,2, Crying2
117-50,0.420903,           [288],130,Posterior,2, Crying2
117-53,4.065069,           [216],130,Posterior,2, Crying2
117-59,0.420169,           [326],130,Posterior,2, Crying2
117-61,3.073687,           [234],130,Posterior,2, Crying2
117-66,-0.24596,           [318],130,Posterior,2, Crying2
117-69,6.838948,           [232],130,Posterior,2, Crying2
117-71,3.066386,           [360],130,Posterior,2, Crying2
117-76,6.825464,           [262],130,Posterior,2, Crying2
117-77,4.074548,           [304],130,Posterior,2, Crying2
118-107,0.386933,           [388],130,Posterior,2, Crying2
118-119,1.174112,           [222],130,Posterior,2, Crying2
118-128,1.028218,           [312],130,Posterior,2, Crying2
118-132,2.631652,           [328],130,Posterior,2, Crying2
118-143,1.399968,           [288],130,Posterior,2, Crying2
118-172,1.63273,           [292],130,Posterior,2, Crying2
118-198,9.068128,           [278],130,Posterior,2, Crying2
118-229,1.195365,           [210],130,Posterior,2, Crying2
118-232,3.720205,           [252],130,Posterior,2, Crying2
118-286,1.060701,           [336],130,Posterior,2, Crying2
118-300,1.175415,           [342],130,Posterior,2, Crying2
118-313,1.547709,           [306],130,Posterior,2, Crying2
118-46,2.107876,           [282],130,Posterior,2, Crying2
119-102,7.533355,           [222],130,Posterior,2, Crying2
119-112,2.1102,           [322],130,Posterior,2, Crying2
222-11,5.936161,           [272],130,Posterior,2, Crying2
222-13,2.457635,           [270],130,Posterior,2, Crying2
222-34,1.098909,           [342],130,Posterior,2, Crying2
222-36,2.082917,           [348],130,Posterior,2, Crying2
222-4,3.553175,           [220],130,Posterior,2, Crying2
248-10,5.04215,           [222],130,Posterior,2, Crying2
248-23,5.607735,           [224],130,Posterior,2, Crying2
248-25,1.769862,           [266],130,Posterior,2, Crying2
250-10,4.01168,           [282],130,Posterior,2, Crying2
250-22,3.35853,           [236],130,Posterior,2, Crying2
250-23,4.121139,           [256],130,Posterior,2, Crying2
250-26,2.837599,           [306],130,Posterior,2, Crying2
250-27,3.371375,           [224],130,Posterior,2, Crying2
250-36,2.719695,           [262],130,Posterior,2, Crying2
250-39,3.002899,           [248],130,Posterior,2, Crying2
255-22,0.406721,           [238],130,Posterior,2, Crying2
255-23,4.01031,           [328],130,Posterior,2, Crying2
255-33,6.48632,           [262],130,Posterior,2, Crying2
255-43,2.213157,           [288],130,Posterior,2, Crying2
255-44,3.259387,           [382],130,Posterior,2, Crying2
255-62,2.932912,           [218],130,Posterior,2, Crying2
255-63,1.754461,           [306],130,Posterior,2, Crying2
255-64,3.663245,           [338],130,Posterior,2, Crying2
255-72,4.496293,           [318],130,Posterior,2, Crying2
255-81,1.344485,           [358],130,Posterior,2, Crying2
117-115,2.750332,           [304],130,Posterior,3,Unhappy1
117-32,4.514969,           [254],130,Posterior,3,Unhappy1
117-34,3.226029,           [306],130,Posterior,3,Unhappy1
117-46,3.212452,           [230],130,Posterior,3,Unhappy1
117-48,1.41862,           [348],130,Posterior,3,Unhappy1
117-50,1.343986,           [270],130,Posterior,3,Unhappy1
117-53,2.249575,           [378],130,Posterior,3,Unhappy1
117-59,1.683479,           [208],130,Posterior,3,Unhappy1
117-61,-0.832595,           [292],130,Posterior,3,Unhappy1
117-66,-1.086264,           [316],130,Posterior,3,Unhappy1
117-69,7.707578,           [228],130,Posterior,3,Unhappy1
117-71,3.637959,           [340],130,Posterior,3,Unhappy1
117-76,8.432689,           [248],130,Posterior,3,Unhappy1
117-77,2.755568,           [232],130,Posterior,3,Unhappy1
118-107,1.945501,           [272],130,Posterior,3,Unhappy1
118-119,1.125021,           [244],130,Posterior,3,Unhappy1
118-128,4.941684,           [270],130,Posterior,3,Unhappy1
118-132,3.027447,           [340],130,Posterior,3,Unhappy1
118-143,2.752623,           [268],130,Posterior,3,Unhappy1
118-172,0.603201,           [300],130,Posterior,3,Unhappy1
118-198,8.459585,           [274],130,Posterior,3,Unhappy1
118-229,1.827744,           [242],130,Posterior,3,Unhappy1
118-232,5.039781,           [256],130,Posterior,3,Unhappy1
118-286,0.354588,           [386],130,Posterior,3,Unhappy1
118-300,0.121388,           [330],130,Posterior,3,Unhappy1
118-313,1.572624,           [310],130,Posterior,3,Unhappy1
118-46,1.18422,           [266],130,Posterior,3,Unhappy1
119-102,7.123298,           [228],130,Posterior,3,Unhappy1
119-112,1.402255,           [318],130,Posterior,3,Unhappy1
222-11,4.125681,           [252],130,Posterior,3,Unhappy1
222-13,1.887544,           [292],130,Posterior,3,Unhappy1
222-34,0.29625,           [310],130,Posterior,3,Unhappy1
222-36,0.852092,           [308],130,Posterior,3,Unhappy1
222-4,3.580789,           [304],130,Posterior,3,Unhappy1
248-10,5.758295,           [234],130,Posterior,3,Unhappy1
248-23,4.599316,           [282],130,Posterior,3,Unhappy1
248-25,1.866169,           [210],130,Posterior,3,Unhappy1
250-10,5.658083,           [270],130,Posterior,3,Unhappy1
250-22,3.112747,           [238],130,Posterior,3,Unhappy1
250-23,3.969638,           [274],130,Posterior,3,Unhappy1
250-26,2.487113,           [324],130,Posterior,3,Unhappy1
250-27,1.918758,           [236],130,Posterior,3,Unhappy1
250-36,2.894285,           [294],130,Posterior,3,Unhappy1
250-39,2.516762,           [224],130,Posterior,3,Unhappy1
255-22,2.299676,           [210],130,Posterior,3,Unhappy1
255-23,5.355745,           [328],130,Posterior,3,Unhappy1
255-33,3.182039,           [252],130,Posterior,3,Unhappy1
255-43,1.857767,           [274],130,Posterior,3,Unhappy1
255-44,2.522132,           [224],130,Posterior,3,Unhappy1
255-62,2.734939,           [398],130,Posterior,3,Unhappy1
255-63,2.529171,           [318],130,Posterior,3,Unhappy1
255-64,2.582322,           [328],130,Posterior,3,Unhappy1
255-72,4.885657,           [278],130,Posterior,3,Unhappy1
255-81,1.036922,           [352],130,Posterior,3,Unhappy1
117-115,3.378935,           [300],130,Posterior,4,Unhappy2
117-32,4.342965,           [300],130,Posterior,4,Unhappy2
117-34,4.333328,           [302],130,Posterior,4,Unhappy2
117-46,2.949382,           [274],130,Posterior,4,Unhappy2
117-48,1.15297,           [300],130,Posterior,4,Unhappy2
117-50,2.570003,           [310],130,Posterior,4,Unhappy2
117-53,2.027658,           [340],130,Posterior,4,Unhappy2
117-59,4.023844,           [206],130,Posterior,4,Unhappy2
117-61,0.540548,           [308],130,Posterior,4,Unhappy2
117-66,-0.909516,           [374],130,Posterior,4,Unhappy2
117-69,6.328343,           [224],130,Posterior,4,Unhappy2
117-71,2.85014,           [334],130,Posterior,4,Unhappy2
117-76,8.96736,           [260],130,Posterior,4,Unhappy2
117-77,2.328187,           [256],130,Posterior,4,Unhappy2
118-107,2.861266,           [302],130,Posterior,4,Unhappy2
118-119,2.439693,           [228],130,Posterior,4,Unhappy2
118-128,1.576717,           [280],130,Posterior,4,Unhappy2
118-132,1.88766,           [230],130,Posterior,4,Unhappy2
118-143,2.782874,           [276],130,Posterior,4,Unhappy2
118-172,1.565373,           [288],130,Posterior,4,Unhappy2
118-198,9.034141,           [276],130,Posterior,4,Unhappy2
118-229,0.72664,           [328],130,Posterior,4,Unhappy2
118-232,4.394701,           [252],130,Posterior,4,Unhappy2
118-286,0.468716,           [330],130,Posterior,4,Unhappy2
118-300,1.253093,           [380],130,Posterior,4,Unhappy2
118-313,2.491383,           [302],130,Posterior,4,Unhappy2
118-46,0.329788,           [392],130,Posterior,4,Unhappy2
119-102,8.290974,           [230],130,Posterior,4,Unhappy2
119-112,0.115445,           [236],130,Posterior,4,Unhappy2
222-11,6.184389,           [288],130,Posterior,4,Unhappy2
222-13,1.552229,           [304],130,Posterior,4,Unhappy2
222-34,0.821234,           [358],130,Posterior,4,Unhappy2
222-36,0.338939,           [308],130,Posterior,4,Unhappy2
222-4,3.179606,           [248],130,Posterior,4,Unhappy2
248-10,4.065123,           [216],130,Posterior,4,Unhappy2
248-23,4.799338,           [282],130,Posterior,4,Unhappy2
248-25,1.811235,           [252],130,Posterior,4,Unhappy2
250-10,6.983078,           [242],130,Posterior,4,Unhappy2
250-22,3.090253,           [240],130,Posterior,4,Unhappy2
250-23,3.83857,           [268],130,Posterior,4,Unhappy2
250-26,3.116573,           [314],130,Posterior,4,Unhappy2
250-27,3.304481,           [242],130,Posterior,4,Unhappy2
250-36,3.877701,           [282],130,Posterior,4,Unhappy2
250-39,1.903144,           [244],130,Posterior,4,Unhappy2
255-22,0.489461,           [210],130,Posterior,4,Unhappy2
255-23,3.987974,           [342],130,Posterior,4,Unhappy2
255-33,2.850576,           [244],130,Posterior,4,Unhappy2
255-43,2.866028,           [340],130,Posterior,4,Unhappy2
255-44,2.338117,           [280],130,Posterior,4,Unhappy2
255-62,2.663087,           [230],130,Posterior,4,Unhappy2
255-63,1.645713,           [284],130,Posterior,4,Unhappy2
255-64,5.228156,           [338],130,Posterior,4,Unhappy2
255-72,4.57216,           [248],130,Posterior,4,Unhappy2
255-81,0.929301,           [332],130,Posterior,4,Unhappy2
117-115,3.009663,           [266],130,Posterior,5,Neutral1
117-32,2.941693,           [256],130,Posterior,5,Neutral1
117-34,4.943333,           [300],130,Posterior,5,Neutral1
117-46,3.622286,           [224],130,Posterior,5,Neutral1
117-48,2.22755,           [372],130,Posterior,5,Neutral1
117-50,1.311608,           [254],130,Posterior,5,Neutral1
117-53,2.561416,           [350],130,Posterior,5,Neutral1
117-59,1.327242,           [392],130,Posterior,5,Neutral1
117-61,1.548953,           [252],130,Posterior,5,Neutral1
117-66,-1.091382,           [330],130,Posterior,5,Neutral1
117-69,9.09434,           [238],130,Posterior,5,Neutral1
117-71,3.982355,           [342],130,Posterior,5,Neutral1
117-76,9.320455,           [256],130,Posterior,5,Neutral1
117-77,3.224031,           [300],130,Posterior,5,Neutral1
118-107,1.253379,           [384],130,Posterior,5,Neutral1
118-119,2.945655,           [230],130,Posterior,5,Neutral1
118-128,3.90101,           [294],130,Posterior,5,Neutral1
118-132,1.182872,           [292],130,Posterior,5,Neutral1
118-143,4.571448,           [278],130,Posterior,5,Neutral1
118-172,0.397563,           [306],130,Posterior,5,Neutral1
118-198,10.240028,           [270],130,Posterior,5,Neutral1
118-229,1.614129,           [388],130,Posterior,5,Neutral1
118-232,4.645461,           [244],130,Posterior,5,Neutral1
118-286,-0.106189,           [292],130,Posterior,5,Neutral1
118-300,0.833744,           [254],130,Posterior,5,Neutral1
118-313,2.848283,           [324],130,Posterior,5,Neutral1
118-46,0.922993,           [228],130,Posterior,5,Neutral1
119-102,8.007527,           [212],130,Posterior,5,Neutral1
119-112,0.893426,           [370],130,Posterior,5,Neutral1
222-11,4.369726,           [278],130,Posterior,5,Neutral1
222-13,2.657343,           [282],130,Posterior,5,Neutral1
222-34,0.261376,           [294],130,Posterior,5,Neutral1
222-36,1.118949,           [290],130,Posterior,5,Neutral1
222-4,2.755716,           [236],130,Posterior,5,Neutral1
248-10,5.498228,           [236],130,Posterior,5,Neutral1
248-23,5.620178,           [214],130,Posterior,5,Neutral1
248-25,1.690844,           [280],130,Posterior,5,Neutral1
250-10,5.082819,           [254],130,Posterior,5,Neutral1
250-22,2.526555,           [240],130,Posterior,5,Neutral1
250-23,4.45802,           [276],130,Posterior,5,Neutral1
250-26,3.714822,           [278],130,Posterior,5,Neutral1
250-27,3.32898,           [206],130,Posterior,5,Neutral1
250-36,2.547074,           [268],130,Posterior,5,Neutral1
250-39,2.221599,           [240],130,Posterior,5,Neutral1
255-22,0.672509,           [258],130,Posterior,5,Neutral1
255-23,4.887584,           [324],130,Posterior,5,Neutral1
255-33,3.341115,           [250],130,Posterior,5,Neutral1
255-43,4.013608,           [262],130,Posterior,5,Neutral1
255-44,2.333258,           [300],130,Posterior,5,Neutral1
255-62,3.954318,           [266],130,Posterior,5,Neutral1
255-63,1.354953,           [328],130,Posterior,5,Neutral1
255-64,5.250716,           [336],130,Posterior,5,Neutral1
255-72,4.572777,           [214],130,Posterior,5,Neutral1
255-81,1.303058,           [372],130,Posterior,5,Neutral1
117-115,2.82817,           [258],130,Posterior,6,Neutral2
117-32,4.312349,           [268],130,Posterior,6,Neutral2
117-34,4.734549,           [298],130,Posterior,6,Neutral2
117-46,4.722446,           [208],130,Posterior,6,Neutral2
117-48,1.49326,           [302],130,Posterior,6,Neutral2
117-50,1.334132,           [380],130,Posterior,6,Neutral2
117-53,3.589317,           [340],130,Posterior,6,Neutral2
117-59,0.680226,           [272],130,Posterior,6,Neutral2
117-61,1.986465,           [400],130,Posterior,6,Neutral2
117-66,-0.672134,           [316],130,Posterior,6,Neutral2
117-69,9.642739,           [218],130,Posterior,6,Neutral2
117-71,2.001567,           [336],130,Posterior,6,Neutral2
117-76,5.978288,           [250],130,Posterior,6,Neutral2
117-77,3.851349,           [242],130,Posterior,6,Neutral2
118-107,0.490695,           [226],130,Posterior,6,Neutral2
118-119,1.770837,           [240],130,Posterior,6,Neutral2
118-128,2.513081,           [264],130,Posterior,6,Neutral2
118-132,2.393003,           [326],130,Posterior,6,Neutral2
118-143,3.057787,           [266],130,Posterior,6,Neutral2
118-172,1.313007,           [298],130,Posterior,6,Neutral2
118-198,8.95649,           [274],130,Posterior,6,Neutral2
118-229,1.041758,           [302],130,Posterior,6,Neutral2
118-232,5.795706,           [262],130,Posterior,6,Neutral2
118-286,0.721002,           [212],130,Posterior,6,Neutral2
118-300,-0.327254,           [302],130,Posterior,6,Neutral2
118-313,1.973827,           [306],130,Posterior,6,Neutral2
118-46,1.77163,           [376],130,Posterior,6,Neutral2
119-102,8.737006,           [220],130,Posterior,6,Neutral2
119-112,0.069109,           [354],130,Posterior,6,Neutral2
222-11,5.852642,           [280],130,Posterior,6,Neutral2
222-13,2.847838,           [284],130,Posterior,6,Neutral2
222-34,1.037302,           [242],130,Posterior,6,Neutral2
222-36,1.952003,           [272],130,Posterior,6,Neutral2
222-4,2.132428,           [288],130,Posterior,6,Neutral2
248-10,3.793134,           [280],130,Posterior,6,Neutral2
248-23,5.466094,           [224],130,Posterior,6,Neutral2
248-25,1.773593,           [248],130,Posterior,6,Neutral2
250-10,7.005091,           [256],130,Posterior,6,Neutral2
250-22,2.75511,           [236],130,Posterior,6,Neutral2
250-23,4.284924,           [272],130,Posterior,6,Neutral2
250-26,3.351026,           [312],130,Posterior,6,Neutral2
250-27,4.858019,           [218],130,Posterior,6,Neutral2
250-36,4.324344,           [272],130,Posterior,6,Neutral2
250-39,0.962243,           [256],130,Posterior,6,Neutral2
255-22,2.668352,           [380],130,Posterior,6,Neutral2
255-23,4.777485,           [342],130,Posterior,6,Neutral2
255-33,3.776873,           [246],130,Posterior,6,Neutral2
255-43,1.58014,           [264],130,Posterior,6,Neutral2
255-44,4.598728,           [218],130,Posterior,6,Neutral2
255-62,2.296207,           [224],130,Posterior,6,Neutral2
255-63,2.204132,           [288],130,Posterior,6,Neutral2
255-64,2.688145,           [336],130,Posterior,6,Neutral2
255-72,4.281143,           [254],130,Posterior,6,Neutral2
255-81,0.903825,           [346],130,Posterior,6,Neutral2
117-115,4.786315,           [252],130,Posterior,7,  Happy1
117-32,3.817613,           [268],130,Posterior,7,  Happy1
117-34,4.691606,           [300],130,Posterior,7,  Happy1
117-46,5.05068,           [214],130,Posterior,7,  Happy1
117-48,1.380431,           [296],130,Posterior,7,  Happy1
117-50,0.588695,           [360],130,Posterior,7,  Happy1
117-53,3.929711,           [326],130,Posterior,7,  Happy1
117-59,1.949436,           [314],130,Posterior,7,  Happy1
117-61,-0.642475,           [282],130,Posterior,7,  Happy1
117-66,-0.81335,           [302],130,Posterior,7,  Happy1
117-69,7.67524,           [224],130,Posterior,7,  Happy1
117-71,3.643385,           [330],130,Posterior,7,  Happy1
117-76,5.801835,           [268],130,Posterior,7,  Happy1
117-77,3.61328,           [238],130,Posterior,7,  Happy1
118-107,1.794767,           [390],130,Posterior,7,  Happy1
118-119,2.305343,           [234],130,Posterior,7,  Happy1
118-128,2.31139,           [270],130,Posterior,7,  Happy1
118-132,2.661347,           [272],130,Posterior,7,  Happy1
118-143,2.418743,           [286],130,Posterior,7,  Happy1
118-172,2.776166,           [292],130,Posterior,7,  Happy1
118-198,9.852854,           [276],130,Posterior,7,  Happy1
118-229,0.651567,           [240],130,Posterior,7,  Happy1
118-232,4.637739,           [264],130,Posterior,7,  Happy1
118-286,0.561834,           [234],130,Posterior,7,  Happy1
118-300,-0.257465,           [230],130,Posterior,7,  Happy1
118-313,2.152972,           [298],130,Posterior,7,  Happy1
118-46,1.71215,           [306],130,Posterior,7,  Happy1
119-102,9.070717,           [208],130,Posterior,7,  Happy1
119-112,0.964441,           [262],130,Posterior,7,  Happy1
222-11,4.972895,           [278],130,Posterior,7,  Happy1
222-13,1.902784,           [294],130,Posterior,7,  Happy1
222-34,1.481291,           [336],130,Posterior,7,  Happy1
222-36,0.312435,           [352],130,Posterior,7,  Happy1
222-4,3.365977,           [278],130,Posterior,7,  Happy1
248-10,5.031449,           [222],130,Posterior,7,  Happy1
248-23,5.268161,           [222],130,Posterior,7,  Happy1
248-25,1.457419,           [270],130,Posterior,7,  Happy1
250-10,4.713412,           [262],130,Posterior,7,  Happy1
250-22,3.357951,           [242],130,Posterior,7,  Happy1
250-23,3.731424,           [282],130,Posterior,7,  Happy1
250-26,2.881804,           [306],130,Posterior,7,  Happy1
250-27,3.214915,           [214],130,Posterior,7,  Happy1
250-36,3.060038,           [284],130,Posterior,7,  Happy1
250-39,2.945376,           [252],130,Posterior,7,  Happy1
255-22,0.557287,           [206],130,Posterior,7,  Happy1
255-23,5.160625,           [340],130,Posterior,7,  Happy1
255-33,4.238605,           [244],130,Posterior,7,  Happy1
255-43,2.67324,           [254],130,Posterior,7,  Happy1
255-44,4.589176,           [226],130,Posterior,7,  Happy1
255-62,1.233521,           [268],130,Posterior,7,  Happy1
255-63,1.895162,           [314],130,Posterior,7,  Happy1
255-64,3.998249,           [332],130,Posterior,7,  Happy1
255-72,3.91044,           [248],130,Posterior,7,  Happy1
255-81,1.172162,           [352],130,Posterior,7,  Happy1
117-115,3.932911,           [258],130,Posterior,8,  Happy2
117-32,4.919242,           [270],130,Posterior,8,  Happy2
117-34,4.34936,           [222],130,Posterior,8,  Happy2
117-46,4.49249,           [290],130,Posterior,8,  Happy2
117-48,2.442449,           [336],130,Posterior,8,  Happy2
117-50,1.496416,           [270],130,Posterior,8,  Happy2
117-53,2.615138,           [250],130,Posterior,8,  Happy2
117-59,1.164077,           [276],130,Posterior,8,  Happy2
117-61,0.940893,           [220],130,Posterior,8,  Happy2
117-66,-0.801196,           [318],130,Posterior,8,  Happy2
117-69,7.61304,           [218],130,Posterior,8,  Happy2
117-71,2.868759,           [254],130,Posterior,8,  Happy2
117-76,7.634594,           [316],130,Posterior,8,  Happy2
117-77,2.429347,           [248],130,Posterior,8,  Happy2
118-107,2.211026,           [338],130,Posterior,8,  Happy2
118-119,1.052946,           [244],130,Posterior,8,  Happy2
118-128,3.235702,           [296],130,Posterior,8,  Happy2
118-132,2.814165,           [304],130,Posterior,8,  Happy2
118-143,2.253697,           [270],130,Posterior,8,  Happy2
118-172,2.165013,           [318],130,Posterior,8,  Happy2
118-198,6.452713,           [212],130,Posterior,8,  Happy2
118-229,1.86011,           [368],130,Posterior,8,  Happy2
118-232,5.216295,           [244],130,Posterior,8,  Happy2
118-286,-0.053859,           [386],130,Posterior,8,  Happy2
118-300,0.959562,           [392],130,Posterior,8,  Happy2
118-313,1.880833,           [298],130,Posterior,8,  Happy2
118-46,2.91531,           [318],130,Posterior,8,  Happy2
119-102,8.624546,           [212],130,Posterior,8,  Happy2
119-112,0.661431,           [278],130,Posterior,8,  Happy2
222-11,4.886597,           [288],130,Posterior,8,  Happy2
222-13,1.75327,           [268],130,Posterior,8,  Happy2
222-34,1.014817,           [234],130,Posterior,8,  Happy2
222-36,0.754443,           [274],130,Posterior,8,  Happy2
222-4,2.460591,           [212],130,Posterior,8,  Happy2
248-10,5.861082,           [230],130,Posterior,8,  Happy2
248-23,4.564414,           [210],130,Posterior,8,  Happy2
248-25,2.687928,           [260],130,Posterior,8,  Happy2
250-10,8.62948,           [262],130,Posterior,8,  Happy2
250-22,3.676547,           [232],130,Posterior,8,  Happy2
250-23,4.934822,           [270],130,Posterior,8,  Happy2
250-26,3.012327,           [272],130,Posterior,8,  Happy2
250-27,1.521046,           [264],130,Posterior,8,  Happy2
250-36,2.74915,           [296],130,Posterior,8,  Happy2
250-39,2.059931,           [242],130,Posterior,8,  Happy2
255-22,1.90103,           [208],130,Posterior,8,  Happy2
255-23,4.602819,           [324],130,Posterior,8,  Happy2
255-33,2.068447,           [266],130,Posterior,8,  Happy2
255-43,2.626445,           [300],130,Posterior,8,  Happy2
255-44,7.873831,           [218],130,Posterior,8,  Happy2
255-62,1.641261,           [248],130,Posterior,8,  Happy2
255-63,2.174973,           [326],130,Posterior,8,  Happy2
255-64,3.870886,           [334],130,Posterior,8,  Happy2
255-72,4.051774,           [296],130,Posterior,8,  Happy2
255-81,1.397957,           [226],130,Posterior,8,  Happy2
